WAV Files

Path	Format Tag	Num Channels	Channel Mask	Sample Rate	Avg Bytes Per Sec	Block Align	Bit Depth	Num Samples

\SFX\fly_hop-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	43654
\SFX\fly_hop-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	58914
\SFX\fly_loop-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	634035
\SFX\fly_loop-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	632174
\SFX\gloom_effect_loop.wav	0xFFFE	2	0x00000003	96000	576000	6	24	309840
\SFX\M1_basic-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	84279
\SFX\M1_basic-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	50657
\SFX\M1_basic-003.wav	0xFFFE	2	0x00000003	96000	576000	6	24	56220
\SFX\M1_basic-004.wav	0xFFFE	2	0x00000003	96000	576000	6	24	69769
\SFX\M1_basic_end_combo-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	162617
\SFX\M1_basic_end_combo-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	171250
\SFX\R_cast_loop-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	290384
\SFX\R_cast_loop-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	249259
\SFX\R_cast_loop-003.wav	0xFFFE	2	0x00000003	96000	576000	6	24	284512
\SFX\R_cast_start-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	295941
\SFX\R_cast_start-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	257515
\SFX\R_target-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	174960
\SFX\R_target-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	215704
